Клиенты:;Описание;Некорректно работает в действующей срм
Не пришли на пробники;Отчет отображает всех клиентов, которые не пришли на пробные занятия, в том числе тех,кто отменил пробное занятие.;не показывает отмененные занятия
Конверсия пробных занятий по педагогам;"Количество пробных - количество клиентов, которые посетили пробноые занятия у педагога
Количество продаж - количество купивших абонементов после пробных
Конверсия= Количество продаж/Количество пробных";еоличество продаж показывает по галочка продажа совершена, не по первому платному занятию
Лиды по дням;Отображает договора(направления/инетресы лидов) по дате создания в разрезе каналов привлечения;
Детализация лидов по каналам;"Лид -ФИО учащегося
Канал -  выбранный при создании договора(направления/инетресы лидов) канал привлечения
Филиал - выбранный  при создании договора(направления/инетресы лидов) филиал
Направление-  выбранное  при создании договора(направления/инетресы лидов) направление
Состояние лида - состояние договора(направления/инетресы лидов) на текущий момент";
Пробники по дням;"Отчет отображает дату действия
Записались на пробное - показывает сколько конкретно в указанный день было записано на пробные занятия ( само пробное может быть назначено на другой день)                
Посетили пробное - показывает сколько конкретно в указанный день посетили пробные занятия                
Купили абонемент        -показывает сколько конкретно в указанный день сотрудник проставил галочку продажа совершена ";" не имеет ничего общего с первым платным занятием
*даже если сотрудник проставил галочку продажа совершена, а потом перевел не в актив,а в предзапись или любое другое сстояние все равно попадет в отчет. Завязано на дате пролдажи, которую указал сотрудник)      "
Лиды по менеджерам;"Отображает действия сотрудников , совершенных под определенными учетными записями в каждый день выбранного месяца
Создано лидов - отображает сколько создано учеников по дате создания (по умолчанию ставится сегодняшняя, сотрудник может ее изменить вручную)
Создано интересов лидов отображает сколько создано договоров(направлений/интересов лидов) по дате создания (по умолчанию ставится сегодняшняя, сотрудник может ее изменить вручную)
Записано на пробники лидов - показывает скольким ученикам было назначено пробных занятий ( отображается дата когда сотрудник проводил действия, то есть сегодня, пробное назначено может быть на любую другую дату, пример 11.06.25 сотрудник в срм назначает пробное клиенту на 25.06.25, в отчете отобразится 11.06.25)
 Записано на пробники интересов лидов - показывает по скольким договорам(направлениям/интересам лидов)было назначено пробных занятий ( отображается дата когда сотрудник проводил действия, то есть сегодня, пробное назначено может быть на любую другую дату, пример 11.06.25 сотрудник в срм назначает пробное клиенту на 25.06.25, в отчете отобразится 11.06.25)
Совершено продаж лидам - показывает скольким ученикам была совершена продажа, данные подтягиваются по дате продажи (по умолчанию ставится сегодняшняя, сотрудник может ее изменить вручную)
Совершено продаж абонементам(интересам) - показывает по скольким направлениям была совершена продажа, данные подтягиваются по дате продажи (по умолчанию ставится сегодняшняя, сотрудник может ее изменить вручную)
Отток клиентов - показывает сколько учеников были отчислены, данные подтягиваются по дате отчисления ( т.е. по последнему платному занятию или по вручную установленной дате)
Отток абонементам -показывает сколько напарвлений были отчислены, данные подтягиваются по дате отчисления ( т.е. по последнему платному занятию или по вручную установленной дате)";Создано лидов - отображает не именно создание контакта, а контакта с направлением ( если у 1 лида несколько направлений, то в отчете он покажет его 1 раз)
Доходимость по дням;"Данные подтягиваются по дате создания договора(направления/инетреса лидов)
Создано интересов лидов - отображает сколько было создано договоров(направлений/интресов лидов) в указанный день (например 1/6 создано 5 договоров)
Записано на пробник - не важна дата записи на пробное или дата пробное , данные подтягиваются по дате создания (пример: 1/6 - записано на пробник 3 из 5 созданных. То есть из тех договоров,что были созданы 1/6 3 были записаны на пробное)
Посетил пробник - не важна дата пробного , данные подтягиваются по дате создания (пример: 1/6 - посетило пробник 2 из 5 созданных и 3 записанных на пробник. То есть из тех 5-ти договоров,что были созданы 1/6 3 были записаны на пробное и только 2-е из них посетили)
Совершено продаж не важна дата продажи или первого платного занятия данные подтягиваются по дате создания (пример: 1/6 создано 5 договоров, из них на пробное было записано 3, постили пробное 2, а поставили дату продажи и перевели в актив 3) p/s клиеннты могут покупать без пробного занятия
Поступила оплата не важна дата оплаты, данные подтягиваются по дате создания (пример: 1/6 создано 5 договоров, из них на пробное было записано 3, постили пробное 2, поставили дату продажи и перевели в актив 3 и оплата проведена по 3)) ";
Доходимость свод;"Лид	- фио ученика
Интерес лида - направление ученика
Дата создания - дата создания договора	
Состояние лида - столбец отображает в каком состоянии клиент по данному договору на данный момент	
Дата пробника - столбец отбражает день,в который клиент доолжен прийти на пробное занятие	
Создано интересов лидов	- отображает был клиенту создан договор или нет ( по умолчанию всегда да)
Записано на пробник	- отображает был ли клиент по данному договору записан на пробное занятие или нет (дата записи или дата пробного значения не имеет, отбражает сам факт действия)
Посетил пробник	 - отображает посетил клиент пробное занятия или нет
Совершено продаж - 	отображает проставили ли клиенту продажу (галочку продажа совершена и дату продажи) или нет
Поступила оплата -         отображает поступила ли от клиента оплата по договору или нет";"если клиент был заведен в 23 году и долго был в потенциале, в июне 25его перевели в актив, то в отчете он будет в 2023 году

оплата отображается, даже если оплатили не полный абонемент"
Воронка продаж;"Показывает движение лидов с учетом ""перетекаающих"" с прошлого месяца
Лиды. Текущий месяц - Показывает сколько создано  договоров(направлениий/интересов лидов) в текущем месяце
Записались на пробное. Текущий месяц - Показывает сколько договоров(направлениий/интересов лидов) было записано на пробное занятие в текущем месяце из тех,что были созданы в текущем месяце
Пришли на пробное. Текущий месяц - Показывает сколько договоров(направлениий/интересов лидов) пришло на пробное занятие в текущем месяце из тех договоров(направлениий/интересов лидов) ,что были созданы в текущем месяце
Совершено продаж. Текущий месяц -  Показывает скольким договорам(направленииям/интересам лидов) была создана продажа(проставлена дата продажи) в текущем месяце из тех договоров(направлениий/интересов лидов) ,что были созданы в текущем месяце
Внесли оплату. Текущий месяц - Показывает сколько договоров(направлениий/интересов лидов) произвели полную оплату в текущем месяце из тех договоров(направлениий/интересов лидов) ,что были созданы в текущем месяце

Записались на пробное. Перетекающие с прошлого месяца - Показывает сколько договоров(направлениий/интересов лидов) были записаны на пробне занятия в текущем месяце из тех договоров(направлениий/интересов лидов) ,что были созданы в предыдущих месяцах   
Пришли на пробное. Перетекающие с прошлого месяца - Показывает сколько договоров(направлениий/интересов лидов) пришли на пробное занятия в текущем месяце из тех договоров(направлениий/интересов лидов) ,что были созданы в предыдущих месяцах 
Совершено продаж. Перетекающие с прошлого месяца - Показывает скольким договорам(направленииям/интересам лидов) была создана продажа в текущем месяце из тех договоров(направлениий/интересов лидов) ,что были созданы в предыдущих месяцах 
Внесли оплату. Перетекающие с прошлого месяца - Показывает сколько договоров(направлениий/интересов лидов) произвели полную оплату в текущем месяце из тех договоров(направлениий/интересов лидов) ,что были созданы в предыдущих месяцах      ";
;;
Загруженность:;;
Свободные места в группаз обучения;"Филиал 
Кабинет       
Группа обучения
Направление                                        
Всего мест - данные подтягиваются из групп обучения. В них при создании группы пользователь указывает максимальное количество мест в группе. Места складываются по всем группам, которые есть в расписании и в которых есть 
Занято мест- программа рассчитвает данные по занятости мест на сегодняшний день по активным клиентам.
Записано на пробники, мест - отображает лидов, которые были записаны на пробные занятия в данные группы обучения и не переведны в потенциал
Свободно мест =всего мест -занято мест-Записано на пробники         
% заполнения = Свободно мест/всего мест                                   ";
Загруженность центра;"Максимальное  кол-во часов - при создании филиалов/кабинетов пользователь прописывает часы работы центра (время начала и время окончания работы) и  программа высчитывает количество рабочих часов за месяц
Фактическое  кол-во часов -из расписания берутся все занятия, в которых присутствуют ученики и складывается длительность занятий (время (с /до занятий заполняется при создании группы обучения)
% загрузки= Фактическое  кол-во часов/Максимальное  кол-во часов
p/s если в расписании есть пустое занятие(без учеников), то его длителньость не учитывается";
Лист ожидания;"В лист ожидания можно записать потенциального клиента при создании интереса лида,ели он ждет местов группе, педагога или новое напарвление.
Если записывают клиента в ожидания места в группу обучения, то при отчислении клиента из этой группы выходит информация, что место в группу ожидает данный клиент. Аналогичная информация появляется на начальной странице";
;;
Деньги:;;
Оплаты;"Отчет показывает состояние баланса, оплаты, отработанных занятий учеников по выбранному направлению в конкретный месяц
Баланс на начало периода - Состояние счета договора на 1 число выбранного месяца
Количество занятий - Количество занятий в выбранном месяце ( даные ерутся из расписания)
Сумма абонемента - Сумма сложенных всех занятий месяца,которые предарительно были умножены на стоимость каждого занятия 
Оплачено - Сумма всех оплат произведенных в выбранном месяце 
Баланс на конец периода - Состояние счета договора на последнее число выбранного месяца
Дата оплаты - Отображает дату последней оплаты в выбранном месяце ( если киент платил 2 раза  05.07.25 и 25.07.25 в отчете будет отображаться 25.07.25)
Нал / безнал - Отображает способ оплаты от клиента, коорый был выбран при внесении платежа
Сумма без скидок -  Отображает сумму всех занятий,без учета установленных клиенту скидок
Сумма скидки - Показывает сумму скидок клиенту за месяц  (как разовые скидки, так и постоянные)
Наши деньги - Информация отображается по мере отмечания клиентов и показывает сумму всех занятий ученика со списанием в текущем месяце
Педагог - Показывает педагога, который закреплен за группой обучения на последнее число месяца
Группа обучения - показывает группу бучения ученика. в которой он состоял на последнее число месяца";Оплачено  - отображает не оплату за конкретный месяцц, а оплату, которая была произведена в месяце ( то есть клиент мог оплатить сраазу за 2 месяца 3500+3000, в оплатах будет отображаться по нему 6500
Планы платежей;"Статья ДДС - отображает статью расхода
Аналитика - в столбце можно выбрать фио сотрудника,если расход на зарплату
Сумма - сумма планового расхода
 *информация заполняется вручную";
Расчеты с учениками;"Контрагент - ФИО ученика
Договор - названиее филиала, напраления и даты договора
Показатели - Планове и фактические значения
Начальный баланс - Состояние счета договора на 1 число выбранного месяца
Начисление План  - Сумма, которую клиенту необходимо оплатить за весь месяц ( количество занятий за месяц умножается на стоимость всех занятий за месяц, при этом если клиенту сделали перерасчет, то сумма этого занятия здесь уже учитываться не будет)
Начисление Факт -- Сумма всех занятий со списанием денежных средст (т.е. сумма всех отмеченных занятий со списаниями ( если клиенту сделали перерасчет, то сумма этого занятия здесь учитываться не будет))
Оплата - Сумма всех оплат произведенных в выбранном месяце 
Конечный баланс - Состояние счета договора на последнее число выбранного месяца
";
Ожидаемые поступления денежных средств;"Сумма абонементов - Сумма, которые все клиенты должны оплатить за текущий месяц по заполненному расписанию. 9тоесть сумма всех абонементов за текущий месяц по всем клиентам)
Ожидаемые поступления - сумма , которые клиенты должны заплатить. Учитываются неоплаченные абонементы ( как частично так и полностью) за текущий месяц и за предыдущий, но только по активным клиентам. Долги по отчисленным клиентам сюда не попадают. 
Оплачено = Сумма абонементов - Ожидаемые поступления
% долга от суммы абонементов = Ожидаемые поступления /Сумма абонементов
Сумма скидок - отображает сумму скидок (итоговая по месяцу разница между базовой ценой и ценой каждого клиента). Учитываются как постоянные так и разовые скидки";Нет возможности закрепить оплаты за конкретным месяцем
Календарь постоянных платежей;"Отображает план и факт постоянных выплат
Статья ДДС - отображает статью расхода
Аналитика - отображает  фио сотрудника,если  он был выбран при создании плана платежей.
План платежей - отображает плановый расход за месяц по указанной статье (сумма отображается та, которую вручную внесли в план платежей)
Оплачено - отображает сумму,которую оплатили в текущем месяце по данной статье и провели расход в срм
К оплате = План платежей- Оплачено";*в оплачено попадает весь расход текущего месяца. То есть ,если в мае оплатили аренду июня, то сумма попадет в май
Движения денежных средств;"Отчет отображает информацию о поступлении денежных средст и расходах за конкретно выбранный период в разрезах статей расхода. Не имеет ничего общего с чистой прибылью.
Приход - сумма поступлений, которые поступили в текущем месяце. 
*если клиент 18.06.2025 оплачивает 2000 за июЛь, то в ДДС сумма попадет в июНь
Расход - сумма расходов, которые были оплачены в текущем месяце. 
*если пользователь оплачивает 18.06.25 оплачивает аренду сентября, то в ДДС сумма попадет в июНь";
Планы платежей;"Статья ДДС - отображает статью расхода
Аналитика - отображает фио сотрудника,выбранного при создании плана платежей
План платежей - заполненная сумма из созданного пдана платежей
Оплачено - оплаченная сумма  и проведенная как расход в срм
К оплате =  План платежей - Оплачено ";"В срм ""криво"" подтягиваются данные в столбец оплачено. Информация собирается мсяц в месяц. Если пользователь заплатил за июнь в мае, то в срм сумма попадет в май."
Доход от новых клиентов/упущенный доход по отчисленным;"Отчет показывает доход от новых клиентов и упущенный доход по отчисленным (в текущем и следующем месяце)
Количество новых - количество новых направлений (выбранного месяца) по которым было хотя бы 1 списание 
Доход от новых клиентов - суммарное количество списаний с клиентов с новыми направлениями. С каждм отмеченным занятием сумма увеличивается
Количество отчисленных - количество направлений отчисленных в выбранно месяце
Факт упущенного дохода текущего месяца по отчисленным - сумма упущенной выгоды по отчисленным направлениям - факт суммы, которую центр не допполучил из-за того,что клиент не доходил до конца месяца. Пример: у клиента 8 занятий по 1000р, он отходил 2 и отчислился. Факт упущенного дохода текущего месяца по отчисленным быдет 6000р
Упущенный доход следующего месяца по отчисленным (плановый) - отображается только при наличии заполненного расписания на следующий месяц Учитывает средний абонемент по конкретному филиалу/направлению и только по активным клиентам (по тем,что было хотя бюы 1 списание)";
Остаток денег;Отчет показывает состояние счетов и касс на текущий момент;
Поступления денег по дням;Отчет отображает ежедневные поступления денежных средств в разрезе канала ( наличные/безналичние) с возможностью отобразить информацию до каждой кассы и счета;
Отсутствие учеников/Предотвращение потерь выручки;"Отчет показывает на какую сумму центр произвел перерасчеты и на какую было проведено списание с клиентов без фактического присутствия
Количество перерасчетов - количество посещений отмеченных, без списания денежных средств с абонемента клиента
Сумма перерасчетов - сумма денежных средств,которые центр потерял из-за отмечания клиента без списания денежных средств с абонемента (суммируется каждое такое посещение всех клиентов (суммы  у кадого клиента могут быть разные))
Количество прогулов - количество посещений отмеченных, как клиент отсутствовал,но при этом с абонемента произошло списание денежных средств
Сумма прогулов - сумма денежных средств,которые центр приобрел по отмеченным клиентам без их присутствия (суммируется каждое такое посещение всех клиентов (суммы у кадого клиента могут быть разные))";
Работа с должниками;"Отчет показывает  плановый и фактический баланс клиента на последнее число месяца. Можно посмотреть как долг, так и переплату по каждому направлению ученика,если они есть ( долг/пеерпалат)
Дата - (по умолчанию последнее число месяца) показывает план и факт долг клиента на выбранную дату
Контрагент - ученик
Договор - напралвение
Состояние лида - отображает в каком состоянии договор ученика по конктреному направлению в даенный момент
Сегмент лида - отображает сегментацию,если она была настроена
Есть актив - показывает есть ли у данного клиента активные договора ( пример: если у клиента по выбовшему направлению долг/переплата, но стоит галочка есть актив, значит этот долг/переплату  можно пененести на активный договор
лановый долг - сколько клиент должен оплатить,если посетит все занятия за месяц ,которые стоят в рсписании ( если по какому-то занятию постаивли перерасчет, то сумма планового долга уменьшится на это занятие)
Фактический долг - отображает долг клиента на сегодня по отмеченным занятиям
Комментарий по оплате - порписывается сотрудником вручную
Группа обучения - отображает группу, в которой состоит клиент
*обязательна необходимость фильтровать столбцы от а до я
";*если клиент оплатил май 5 июня, то открыв должников на 31.05 он будет отображаться в долгах
Остатки оплаченных занятий;;
Отработанные абонементы;"Отчет показывает сколько денежных средств отработано (отведено занятий), 
Сумма абонемента - отображает сумму всех занятий клиентов за месяц (считается по занятиям,которые стоят в расписании)
Отработано - столбец показывает сумму отмеченных(посещенных) занятий, по которым проведены спсиания оплаты. Эта сумма попадает в отчет финансовый резултат в столбец доход
*Если клиенту сделан перерасчет, то сумма абонементов уменьшается на сумму занятия с перерасчетом";
Связанные скидки;"Отчет показывает у каких клиентов созданы постоянные скидки,связанные с другими клиентами ( второе направление/второй ребенок)
Ученик (основание скидки) - из-за кого скидка
Ученик (связанный) -  кого скидка
Договор (основание скидки) - договор ученика из-за кого скидка
Договор (связанный) - договор ученика у кого скидка
Состояние лида (основание скидки) - состояние ученика из-за кого скидка
Состояние лида (связанного) - состояние ученика у кого скидка
Договор (основание скидки) неактивен - отображает наличие неактивности договора  ученика из-за кого скидка
Договор (связанный) неактивен - отображает наличие неактивности договора  ученика у кого скидка
Скидка - назвнаие скидки
Начало действия скидки - дата начала скидки";
Контроль корректировок занятий;"Отчет помогает контролировать изменения стоимости занятий проведенные вручную ( функция по умолчанию выключена, вклчается по запросу руководителя в тех.поддержку)
Дата - дата создания изменения стоимости занятия
Пользователь - кто изменил стоимост занятий
Контрагент - фио ученика с измененной стоимостью занятий
Договор - направление ученика со скидкой 
Стоимость установлена вручную. До изменения - отображает галочку,если меняли стоимость,но потом вернули обратно (для его столбец непонятно,можно убрать)
Стоимость установлена вручную. После изменения - отображает галочку,если была изменения стоимости (для его столбец непонятно,можно убрать)
Стоимость занятия . До изменения - первоначальная стоимость занятия
Стоимость занятия. После изменения - стоимость занятия после ручной корректировки
Стоимость занятия. Разница стоимости до и после = До изменения-После изменения";нигде не посмотреть в каком занятии изменили стоимость
Контроль скидок;"Отчет помогает контролировать разовые скидки,созданные клиентам
Дата - дата создания скидки
Пользователь - кто создал скидку
Филиал - Филиал, который посещает ученик со скидкой
Направление -  направление, которое посещает ученик со скидкой
Контрагент - фио ученика со скидкой
Договор - направление ученика со скидкой
Комментарий - комментарий, который оставил пользователь при создании скидки
Сумма - сумма скидки";
;;
Заработная плата:;;
Зарплата педагогов;"
Сотрудник - фио сотрудника,которому программа автоматически рассчитывет зарплту по заранее заполненным ставкам
Начислено за месяц - сумма начислений по указанным ставкам за весь календарный месяц ( если сегодня 18 число, то в столбце будут данные с 1-18,но только по отмеченным занятиям. )
Начислено (1-15) - сумма начисленной зп по отмеченныым занятиям за период с 1-15 число месяца
Премия (1-15) - проставленная вручную премия за период с 1-15 число месяца
Штраф  (1-15) - проставленный вручную штраф за период с 1-15 число месяца
Выплачено (1-15) - сумма,на котрую проведены выплаты в срм за период с 1-15 число месяца
Начислено (16-31) -  сумма начисленной зп по отмеченныым занятиям за период с 16-31 число месяца
Премия (16-31) -  проставленная вручную премия за период с 16-31 число месяца
Штраф  (16-31) - проставленный вручную штраф за период с 16-31 число месяца
Выплачено (16-31) - сумма,на котрую проведены выплаты в срм за период с 16-31 число месяца
Прочие начисления - неиспользуемый в данныйй момент столбец, ранее в них отображалась премия и штрафы
Прочие выплаты - неиспользуемый в данныйй момент столбец, ранее в них отображалась премия и штрафы
Осталось выплатить= Начислено за месяц - Выплачено (1-15) -Выплачено (16-31)
*не отмеченные занятия не учитываются в расчет
*провалившись в каждую цифру можно увидеть детализацию сумм начислений в раазрезе филиалов/направлений/начисления зп за каждый день /начисления за каждое занятие";
Прогноз сдельной оплаты педагогов;"
Педагог - фио сотрудника ( только педагоги у кого сдельная оплата труда)
Филиал - филиал, за который будет начислена заработная плата
Направление - направление, за которое будет начислена зработная плата
База - условия начисления заработной платы
Ставка - стоимость по условиям начисления ставки
Количество (база) - количество учеников наа занятиях
Количество учеников на сегодня - количество учеников на конец месяца у педагога
Сумма прогноз  = Ставка *Количество (база)
Выплачено - сумма, на которую в срм уже проведенаа выплата з выбранный месяц
К оплате = Сумма прогноз) - Выплачено
* цифры показаны в режиме реального времени, при отчисленииученика или продаже нового абонемента даные меняются на корректные)";Количество учеников на сегодня - считает неверно. Столбец можно просто убрать
Расчеты с педагогами;;
Часы педагогов по дням;"Отчет показывает количество отработанных часов за каждыйдень месяца
Информация в отчете появляется по мере отмечания педагогом учеников. Если отмечен хотя бы 1 ученик с фактическим посещением занятия, то считается.что педагог отработал час.
инормацция оторажается в часах. о есть занятия 30 минут отобразится, как 0,5 часа и т.д.";отмеченный прогул отображается как занятие отведенное пегогом.даже если ученик в группе 1  он прогулял
Средняя заработная плата педагогов;"Педагог - фио сотрудника со сдельной оплатой
Часы - количество отработанных часов за месяц  (часы считаются только по отмеченным занятиям
Зарплата - начисленная зарплата по отмеченным занятиям за выбранный месяц
Средняя стоимость часа = Зарплата / Часы ";
Продажи менеджеров по каналам;"Менеджер - фио учетной записи в срм (либо фио менеджера,который выбран вручную на этапе создания договора(направления/интреса лида)- актуально только из-за ограничения с количеством доступов)
Канал - канал прилечения клиента ( выбирается в момент создания  договора(направления/интреса лида))
Назначенные пробники - подтягивает дату, в которую менеджер в срм проводил действия назначая проное занятие (не равна дате самого пробного)
Посещенные пробники - отображает дату посещения пробного занятия ( подтягивается информацию после того,как клиенту поставят посещение,которое предполагает фзическое присутствие ученика на занятии)
Продажи абонементов - отображает дату совершения продажии";"Подтягвает данные только по выставленной дате продажи.
Данные подтягивает даже если клиент не переведен в актив и не внес платеж"
;;
Склад:;;
Остатки канцтоваров;"
Отчет показывает сколько на данный момент ТМЦ/канцтоваров/подарков в центре
Место хранения - название склада (их может быть несколько, могут создавать мини склады в каждом кабинете, может быть 1 большой склад на центр/все филиалы)
Номенклатура - нзвание позиции (ТМЦ/канцтовара/подарка)
Количество - количество позиций (ТМЦ/канцтовара/подарка) в наличии на складе
Сумма - стоимость позиций (ТМЦ/канцтовара/подарка) в наличии";
Отчет по канцтоварам по дням;"Филиал- филиал хранения ТМЦ/канцтоваров/подарков
Место хранения - название склада
Номенклатура - название ТМЦ/канцтоваров/подарков
Итого - количество приходов единиц за месяц минус количество расходов  единиц 
Конечный остаток - количество осташихся единиц ТМЦ/канцтоваров/подарков за последнюю дту месяца
Расход всего - количество расходов единиц  за месяц
";столбецц Конечный остаток  не совпадает  отчетом Остатки канцтоваров
Сумма расходов по канцтоварам;"Филиал- филиал хранения ТМЦ/канцтоваров/подарков
Кабинет - кабинет, в котором израсходовали тмц
Номенклатура - название ТМЦ/канцтоваров/подарков
Количество израсходовано - количество списанного тмц
Сумма расходов - сумма израсходованных тмц ( стоимость позиции * количество израсходованных позиций)
Количество учеников - количество активных абонементов за месяц (обсудить логику)
Средние расходы на ученика = Сумма расходов / Количество учеников";Непонятно откуда теняется Количество учеников
;;
Компания:;;
Прогноз прибыли;"Отчет показывает на какую (приерно) чистую прибыль может рассчитывать по итогу месяца центр (не учитываются внеплановые раходы (мелкий ремонт/покупка хоз товаров и т.д.). Все данные отображаются в реальном времени и при отчислении/добавлении ученика/высставленном перерасчете цифровые значения меняются. 
Сумма абонементов =  сумма всех занятий учеников, стоящих в распсиании * стоимость каждого занятия)
Прогноз зарплаты педагогов  = данные берутся из сформированных ставок педагогов и по их учловиям считается прогнозная заработная плата ( пример у педагога оплата за занятие 100р, в расписании стоит 5 занятий, прогноззп по педагогу 500р)
Прогноз постоянных платежей - данные берутся из плана платжей на выбранный месяц(заполняется каждый месяц ручную пользователем)
Прогноз прибыли = Сумма абонементов - Прогноз зарплаты педагогов - Прогноз постоянных платежей";
Процент распределения финансового результата;"Отчет показывает какой процент от чистой прибыли центр тратит на разныее статьи расхода
Статья расходов - наазвание статьи расходов
Доходы - сумма всех отработанных занятий в выранном месяце
Чистая прибыль - чистая прибыль полученная центром за месяц = доходы-расходы
Расходы - расходы по каждой статье,которые были оплачены именно за выбранный месяц (пример: если аренду оплатили в мае за июнь, то в данном отчете аренда отобразится в июне)
% = Расходы (по каждой статье) / Доходы 
*отчет отображается только после закрытия месяца, когда выплачена вся зарплата, отмечены все посещения";
Рентабельность групп обучения;;
Сколько денег приносит педагог;"Отчет показывает доходность каждого преподователя в чистой прибыли
Педагог - ФИО педагога
Выручка - сумма всех отработанных занятий по каждому педагогу
Зарплата - сумма начисления зарплаты педагога за выбранный месяц
Сумма расходов ДЦ без ЗП преподавателя
Прибыльность педагога = Выручка -Зарплата - Сумма расходов ДЦ без ЗП преподавателя
% от общего дохода = Прибыльность педагога/ на общую чистую прибыль
";Зарплата  учитывает только начисления. не важно сколько по факту выплатили ( то есть премии и штрафы не учитываются)
